SEIFA,YEAR,GEO_TYPE,GEO_CD,GEO_NM,URP,SCORE,AUS_RANK,AUS_DECILE,AUS_PERCENTILE,STATE,STATE_RANK,STATE_DECILE,STATE_PERCENTILE,MIN_SA1_SCORE_AREA,MAX_SA1_SCORE_AREA,URP_PERCENT_WO_SA1_SCORE,USE_WITH_CAUTION,CROSSES_STATE
IRSAD,2016,SA2,310031294,Ripley,4624,1037,1433,7,66,QLD,367,8,72,967,1118,0,,
IRSAD,2016,SA2,310031295,Riverview,3073,798,36,1,2,QLD,13,1,3,727,895,0.008135373,,
IRSAD,2016,SA2,310041296,Bellbird Park - Brookwater,13763,1041,1490,7,69,QLD,381,8,75,793,1207,0,,
IRSAD,2016,SA2,310041297,Camira - Gailes,9238,954,664,4,31,QLD,175,4,35,802,1034,0,,
IRSAD,2016,SA2,310041299,Collingwood Park - Redbank,8517,938,531,3,25,QLD,148,3,29,821,1026,0.000939298,,
IRSAD,2016,SA2,310041300,Goodna,10884,868,111,1,6,QLD,33,1,7,650,951,0,,
IRSAD,2016,SA2,310041302,Redbank Plains,19299,906,266,2,13,QLD,73,2,15,801,958,0.001139955,,
IRSAD,2016,SA2,310041303,Springfield,6772,1005,1175,6,54,QLD,290,6,57,939,1048,0,,
IRSAD,2016,SA2,310041304,Springfield Lakes,15429,1046,1532,8,71,QLD,386,8,76,980,1086,0,,
IRSAD,2016,SA2,311011305,Beaudesert,13915,913,308,2,15,QLD,86,2,17,787,1026,0,,
IRSAD,2016,SA2,311021306,Beenleigh,8252,855,85,1,4,QLD,27,1,6,722,997,0.001938924,,
IRSAD,2016,SA2,311021307,Eagleby,13326,849,74,1,4,QLD,21,1,5,718,944,0.001275702,,
IRSAD,2016,SA2,311021308,Edens Landing - Holmview,7450,955,668,4,31,QLD,177,4,35,888,1023,0,,
IRSAD,2016,SA2,311021309,Mount Warren Park,5791,951,640,3,30,QLD,170,4,34,867,1040,0,,
IRSAD,2016,SA2,311021310,Wolffdene - Bahrs Scrub,6105,1022,1316,7,61,QLD,333,7,65,973,1104,0,,
IRSAD,2016,SA2,311031311,Boronia Heights - Park Ridge,12237,923,391,2,18,QLD,112,3,22,838,1028,0,,
IRSAD,2016,SA2,311031312,Browns Plains,7368,914,322,2,15,QLD,91,2,18,814,1023,0.000814332,,
IRSAD,2016,SA2,311031313,Chambers Flat - Logan Reserve,5057,981,934,5,43,QLD,235,5,46,918,1026,0,,
IRSAD,2016,SA2,311031314,Crestmead,11989,882,156,1,8,QLD,44,1,9,792,921,0,,
IRSAD,2016,SA2,311031316,Hillcrest,8152,978,904,5,42,QLD,227,5,45,890,1099,0.000736016,,
IRSAD,2016,SA2,311031317,Marsden,14447,873,126,1,6,QLD,39,1,8,728,926,0.000207656,,
IRSAD,2016,SA2,311031318,Munruben - Park Ridge South,4617,1013,1239,6,57,QLD,308,6,60,942,1068,0,,
IRSAD,2016,SA2,311031319,Regents Park - Heritage Park,15934,977,901,5,42,QLD,225,5,44,917,1041,0,,
IRSAD,2016,SA2,311041320,Greenbank,12852,1028,1359,7,63,QLD,348,7,68,920,1096,0,,
IRSAD,2016,SA2,311041321,Jimboomba,25744,997,1096,6,51,QLD,274,6,54,872,1063,0,,
IRSAD,2016,SA2,311041322,Logan Village,6994,1011,1223,6,56,QLD,303,6,59,980,1056,0,,
IRSAD,2016,SA2,311051323,Bethania - Waterford,10870,931,459,3,22,QLD,126,3,25,785,1024,0.000275989,,
IRSAD,2016,SA2,311051324,Cornubia - Carbrook,8455,1063,1673,8,77,QLD,422,9,83,853,1129,0,,
IRSAD,2016,SA2,311051325,Loganholme - Tanah Merah,11130,995,1065,5,49,QLD,266,6,52,918,1075,0.001347709,,
IRSAD,2016,SA2,311051326,Loganlea,10434,898,218,1,10,QLD,55,2,11,783,1014,0.00182097,,
IRSAD,2016,SA2,311051327,Shailer Park,11647,1052,1583,8,73,QLD,400,8,78,963,1120,0,,
IRSAD,2016,SA2,311051328,Waterford West,7244,885,171,1,8,QLD,48,1,10,769,968,0,,
IRSAD,2016,SA2,311061329,Daisy Hill,6638,1040,1474,7,68,QLD,376,8,74,867,1132,0,,
IRSAD,2016,SA2,311061330,Kingston (Qld.),10413,822,46,1,3,QLD,16,1,4,723,893,0.001344473,,
IRSAD,2016,SA2,311061331,Logan Central,6133,773,25,1,2,QLD,7,1,2,645,909,0,,
IRSAD,2016,SA2,311061332,Rochedale South - Priestdale,15452,1026,1353,7,62,QLD,344,7,67,940,1125,0,,
IRSAD,2016,SA2,311061333,Slacks Creek,10432,882,153,1,8,QLD,43,1,9,772,990,0.000671012,,
IRSAD,2016,SA2,311061334,Springwood,9279,1020,1292,6,60,QLD,326,7,64,946,1093,0,,
IRSAD,2016,SA2,311061335,Underwood,6341,1036,1423,7,66,QLD,365,8,72,924,1110,0.000788519,,
IRSAD,2016,SA2,311061336,Woodridge,12579,796,34,1,2,QLD,11,1,3,690,907,0,,
IRSAD,2016,SA2,312011337,Bowen,9105,902,245,2,12,QLD,66,2,13,826,990,0,,
IRSAD,2016,SA2,312011338,Broadsound - Nebo,8505,962,752,4,35,QLD,192,4,38,866,1042,0.000470312,,
IRSAD,2016,SA2,312011339,Clermont,3700,986,990,5,46,QLD,249,5,49,858,1086,0,,
IRSAD,2016,SA2,312011340,Collinsville,3456,913,313,2,15,QLD,88,2,18,819,986,0,,
IRSAD,2016,SA2,312011341,Moranbah,8735,1011,1226,6,57,QLD,304,6,60,920,1074,0.018431597,,
IRSAD,2016,SA2,312021342,Andergrove - Beaconsfield,14908,955,667,4,31,QLD,176,4,35,850,1072,0,,
IRSAD,2016,SA2,312021343,East Mackay,3569,950,631,3,29,QLD,168,4,33,786,1101,0,,
IRSAD,2016,SA2,312021344,Eimeo - Rural View,12326,1010,1211,6,56,QLD,301,6,59,930,1099,0,,
